station,location,type,capacity (mw),commissioned,category
Kipevu I Thermal Power Station,4°2′S 39°38′E﻿,Heavy fuel oil,63,NA,fossils
Tsavo Thermal Power Station,4°2′S 39°38′E﻿,Heavy fuel oil,75,2001,fossils
Nairobi South Thermal Power Station,1°17′S 36°49′E﻿,Heavy fuel oil,109,1997,fossils
Gulf Energy Thermal Power Station,01°27′30″S 37°00′14″E﻿,Heavy fuel oil,80,2014,fossils
Lamu Coal Power Station,2°17′S 40°51′E﻿,Coal,960,In development,fossils
Biojoule Thermal Power Station,0°42′S 36°26′E﻿,Biogas,2.6,2015,fossils
Baringo Thermal Power Station,0°31′S 35°45′E﻿,Biogas,10.8,2015,fossils
Thika Thermal Power Station,03°56′S 39°40′E﻿,Heavy fuel oil,87,2012,fossils
Rabai Thermal Power Station,03°56′S 39°40′E﻿,Heavy fuel oil,90,2009,fossils
Dongo Kundu Thermal Power Station,04°04′S 39°37′E﻿,Liquefied natural gas,700,Cancelled 2016,fossils
Dave Flower Farm,NA,Biogas,0.1,in development,fossils
"Simbi Roses, Thika",NA,Biogas,0.055,in development,fossils
Oilvado Company ltd,NA,Biogas,1.34,operational,fossils
Pine Power ltd,NA,Biogas,1.15,operational,fossils
James Finlays ltd,NA,Biogas,1.16,operational,fossils
Dagoreti Slaughter House,NA,Biogas,0.23,operational,fossils
